Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations,__index_level_0__
los dioses nos van a castigar x estas mierdas jswjjsjaaj q decia,Medium,Mocking,Vulgar,Cynical,mierdas,
"23 de septiembre del 2020 me entero que DMS significa demasiado, me quiero cortar las tetas!",High,Distressed,Self-Harmful,Despair,cortar las tetas,
Me volví a enamorar pero otra vez a la mierda.,Medium,Frustrated,Vulgar,Negative,mierda,
Me refregué los ojos y me acorde q la estuve re mil acariciando a esta perra zorra 😢,High,Derogatory,Offensive and Insulting,Disparaging,"perra, zorra",
se me ha calado el coche en la puta rampa mas heavy que he subido nunca,Medium,Frustrated,Casual and Vulgar,Annoyed,puta,
"No intento cambiar a la gente pero si sé que das más , pues coño para que conformarte ?",Medium,Frustrated,Colloquial with Profanity,Discontent,coño,
quien viene a ver detective pikachu conmigo aunque parezca una mierda?,Medium,Casual,Informal and Potentially Insulting,Negative,mierda,
"Opino lo mismo, da risa leer a los que no tienen ni puta idea",Medium,Mocking,Dismissive and Insulting,Derogatory,puta,
Te hubise puesto una luca en el bolsillo para que me trajeras unas piscolas a la mesa,Low,Casual,Colloquial,Neutral,None,
O hacen historias de putas y traquetos.,High,Disparaging,Vulgar and Disrespectful,Condemnatory,"putas, traquetos",
"Joder, todo muerto es bueno.",High,Aggressive,Profane and Insensitive,Malicious,"Joder, muerto",
Daniel Mendoza y Gener Usuga son tan HIJUEPUTAS la bajeza de ellos de meterse con un niño.,High,Angry,Confrontational and Insulting,Hostile,"HIJUEPUTAS, bajeza",
Y digo pringados porque me acuerdo del motivo por el que me bloquearon y me parto el culo de risa,Medium,Mocking,Disdainful,Derisive,pringados,
"Y aquí estoy yo, hablándote primero otra maldita vez.",Medium,Frustrated,Strong and Irritated,Annoyed,maldita,
Como siempre las ratas son las primeras en huir.,Medium,Derogatory,Figurative and Insulting,Disparaging,ratas,
Noooooo la concha de la tu vieja mas mal no se puede comenzar????,High,Aggressive,Insulting,Frustrated,"concha, mal",
Sisi pienso cagarle el final a todos xq fue una mierda,High,Aggressive,Confrontational and Vulgar,Hostile,"cagarle, mierda",
"Se debe estar muy pendejo para compararlos, pero se debe estar mucho más pendejo para demeritar a uno por otro.",High,Insulting,Confrontational and Derogatory,Disparaging,"pendejo, demeritar",
"Pobre infeliz, el no le llega ni a la suela de los zapatos a BRANDONI...",Medium,Derogatory,Insulting,Disdainful,Pobre infeliz,
"Es una pandemia, no comentarios para la tribuna.",Low,Dismissive,Neutral,Critical,ninguna,
cuando se dio cuenta de la cagada que hizo😵,Medium,Critical,Colloquial and Vulgar,Negative,cagada,
Otra de  “el mundo es resultado de un pedo originario”,Low,Casual,Colloquial,Humorous,pedo,
"Si si, vete llorando ya",Medium,Dismissive,Sarcastic,Derisive,llorando,
Por esta misma razón me resisto siempre que paja,Low,Defensive,Casual,Neutral,paja,
callate gil lo va a ver luana,Medium,Imperative and Insulting,Confrontational,Dismissive,"callate, gil",
Le pusiste sueldo de 50k a pateadores cualquiera con primas anuales hasta por si se tiraba un pedo.,Medium,Sarcastic,Disparaging and Derogatory,Disrespectful,"cualquiera, pedo",
Nadie querrá ser presidente de una organización criminal,Low,Neutral,Direct,Negative,criminal,
Sigan con sus Maricadas de marchas para que después le echen culpa al gobierno de los aumentos de cocos-19.,High,Sarcastic and Dismissive,Confrontational and Insulting,Hostile and Blaming,Maricadas,
Por culpa de aficionados como el tontopollas este se rien de nuestro equipo,High,Accusatory,Confrontational and Insulting,Blame,tontopollas,
Que paja ir al minor locooo!,Low,Frustrated,Casual and Informal,Annoyance,paja,
Me ha hecho sentir cosas coño.,Medium,Frustrated,Casual and Vulgar,Annoyed,coño,
se va a hacer caca de tanto apretar,Low,Humorous,Colloquial,Amused,caca,
Ni aquí ni en la quebra' de tu raja.,Medium,Confrontational,Insulting and Vulgar,Disrespectful,raja,
Par de hijueputas cínicos y descarados que merecen ser extraditados,High,Aggressive,Confrontational and Insulting,Hostile,"hijueputas, cínicos, descarados",
"Salí de ahí Martínez, es pasar vergüenza al pedo",Medium,Dismissive,Disrespectful,Disparaging,"vergüenza, al pedo",
Luego coñazo absoluto lo q movera en torno a ella en redes sociales por ej.,Medium,Dismissive,Informal and Vulgar,Negative,coñazo,
encontré la pistola pa los aros mmmm 5 favs y me hago uno,Medium,Provocative,Suggestive and Mischievous,Edgy,pistola,
MALDITA DERECHA GUARDAR EL HACHA YA Y RESPETAR MÁS A NUESTROS MAGNÍFICO CIUDADANOS.,Medium,Aggressive,Confrontational,Hostile,MALDITA,
Qué humor de mierda manejo🤯🤯,Medium,Frustrated,Crude,Negative,mierda,
Que caro nos salió la maldita revolución chavomadurista!,Medium,Frustrated,Derogatory and Critical,Discontent,maldita,
Pero le tenéis q comer la polla ah ah GRANDE CR7,High,Aggressive,Vulgar and Offensive,Hostile,comer la polla,
Se ganan todo eso y muchos no hacen un culo allá.,Medium,Criticizing,Informal and Vulgar,Disapproving,culo,
Que se puede esperar de un burro más que una patada?,Medium,Sarcastic,Derogatory,Disdainful,"burro, patada",
Dejad de hacer puto spoiler,High,Angry,Confrontational and Offensive,Annoyed,puto,
Aue puto coraje la vd🤬🤬🤬,High,Aggressive,Profane and Insulting,Hostile,"puto, coraje",
"Que amigo sos eh, gil de mierda",High,Sarcastic and Insulting,Aggressive,Hostile,gil de mierda,
Y sin un puto dia de cárcel y con miles de muertes a sus espaldas.,High,Angry,Aggressive,Condemnatory,puto,
Pero hay veces es las que no podes garchar pero eso si podes crack,Medium,Informal,Colloquial and Vulgar,Casual,garchar,
No puede ser posible que cada vez que saca un puto tema este increíblemente buenarrrdoooo,Medium,Frustrated,Vulgar,Mixed,puto,
"La Camila qlia me tiene chata, ansiosa de mierda, angurri.",High,Aggressive,Offensive and Derogatory,Frustration,"qlia, chata, mierda, angurri",
y cuando queda leche pero no te da ni para un chupito que?,Low,Frustrated,Informal,Annoyance,no,
Trasnochar viendo películas de mierda is my passion,Medium,Casual,Informal and Vulgar,Discontent,mierda,
Otro pobre retrasado esperando su paguita. Con la que le pasa Soria no le llega... (Putos recortes) 😂,High,Mocking,Derogatory and Disparaging,Contemptuous,"pobre, retrasado, putos",
Mejoremos el nivel del típico chileno y sudaca por favor.,Medium,Derogatory,Disparaging,Disrespectful,"típico chileno, sudaca",
Que paja ser alérgico en tiempos de covid.,Low,Frustrated,Casual,Annoyance,paja,
No puedo llegar a ver la serie x este pelotudo y le cambio la contra de netflix 😡,Medium,Frustrated,Insulting,Angry,pelotudo,
"Jajajajajajajaja que imbécil soy, me estoy riendo en el colectivo como desquiciada",Medium,Self-deprecating,Informal and Insulting,Humorous,"imbécil, desquiciada",
"En serio NO hagas nada malo, cabron porque ella de todo se entera.",Medium,Warning,Confrontational,Cautionary,cabron,
"Extraños a mi team loco, extraño los martes y jueves de cagarnos de risa y tomar mate 😢",Low,Nostalgic,Colloquial,Affectionate,cagarnos,
"Puede no ES un engaño, no podemos creer en este dictador comunista. CALLE hasta que se vayan",High,Aggressive,Confrontational and Political,Hostile,"engaño, dictador comunista, CALLE",
"Uff qué tan poco me banco a los hombres la concha de mi madre, con suerte me caerán bien 5",High,Aggressive,Vulgar and Disdainful,Hostile,"Uff, tan poco, banco, concha, suerte",
Jamás superaré su puta risa enserio vivo enamorada JAJAJAJAJ,Medium,Amused,Casual and Vulgar,Admiring,puta,
"rivivio el árbitro con el penalti a suárez, subnormal",High,Aggressive,Offensive and Derogatory,Hostile,subnormal,
cada vez que veo la corrida del pity hacía la gloria eterna lloro como un maricón,High,Emotional,Insensitive and Homophobic,Disrespectful,maricón,
gente dejen de romper las bolas si me baño todos los días no entienden el sarcasmo acaso,Medium,Frustrated,Confrontational,Annoyed,romper las bolas,
Que cagada es no sentirse cómodo en ningún lugar 😂,Medium,Frustrated,Informal and Vulgar,Negative,cagada,
Me apetece la de dios comerme la boca pila guarro con alguien,Medium,Vulgar,Crude and Provocative,Sexual,guarro,
Cállate bobo anda a teñirte bien el pelo,Medium,Dismissive,Insulting,Disrespectful,"cállate, bobo",
Me iba a traer una wea nazi y al final no pudo un amigo,Medium,Disappointed,Casual and Offensive,Let Down,"wea, nazi",
Yo de él mandaba a la 💩 al Real y buscaba equipo,Medium,Dismissive,Colloquial and Disrespectful,Disdainful,mandaba a la 💩,
Se me fue el filtro a la mierda...,Medium,Frustrated,Crude,Negative,mierda,
todo q m va a salir mal hoy laputamadre,High,Frustrated,Vulgar and Negative,Pessimistic,"mal, laputamadre",
"Hoy tengo prueba de trabajo, csm un mierda mierda por la anto plis",Medium,Frustrated,Vulgar and Informal,Negative,"csm, mierda",
"Yo no soy el hazme reír de nadie, concha de tu madre.",High,Aggressive,Insulting and Confrontational,Defensive and Hostile,concha de tu madre,
No eso no alcanza todos los días el mismo Hijueputa madraso.,High,Aggressive,Profane and Offensive,Hostile,"Hijueputa, madraso",
"esta gente se cree que ser tóxico es cool, no cabron no es cool🤨",Medium,Disapproving,Confrontational and Insulting,Critical,"tóxico, cabron",
"hace dos semanas q me voy a dormir todos los días mariconeando, no me canso",Medium,Casual yet Offensive,Vulgar,Indifferent,mariconeando,
¡Pues ya está todo claro! La culpa es nuestra por haberles fallado ONE MORE TIME !!,Medium,Frustrated,Blaming and Apologetic,Disappointment,"culpa, fallado",
Una cuna de imbéciles que se creen con el derecho de dar cátedra a su gusto.,High,Dismissive,Confrontational and Insulting,Derogatory,imbéciles,
Claramente te sentaste arriba de la torta porque el pelo te lo cortaron con la pija jsksjsksjs,High,Mocking,Insulting and Vulgar,Derisive,pija,
Uruuayos cagones ya les tocara venir a Chile!,High,Aggressive,Confrontational and Insulting,Hostile,cagones,
"Nicolás Burdisso incompetente de mierda, trae un refuerzo como la gente o deja de hablar giladas",High,Aggressive,Confrontational and Insulting,Hostile,"incompetente, mierda, giladas",
Acá ustedes tienen rabo de paja.,Medium,Accusatory,Colloquial and Suggestive,Disapproving,rabo de paja,
JAJAJAJAJAJA  *Se crea un Twitter y la sigue armando de a pedo,Medium,Mocking,Casual and Derogatory,Dismissive,pedo,
"A los que les chupa la poronga y defiende a garnero, que se vayan con el de paso GRACIAS!",High,Aggressive,Vulgar and Insulting,Hostile,chupa la poronga,
"Cuando no, ese pedazo de Hpta en contra del ejército nacional.",High,Aggressive,Vulgar and Insulting,Hostile,Hpta,
La Corte está llena de pura mierda.,High,Aggressive,Crude,Disdainful,mierda,
"Si pudimos mandar a Cantora a la sobrinisima, podemos mandar a la hortera de la brilli a su casa!!",High,Dismissive,Confrontational and Insulting,Hostile,hortera,
Que paja tener q hacer mi corpiño también no ?,Low,Frustrated,Informal,Annoyed,paja,
Y se me colaron unos mamertos politiqueros.,Medium,Disdainful,Disparaging,Frustration,"mamertos, politiqueros",
Con 25 minutos no salvas las cagadas de todo un torneo.,Medium,Frustrated,Informal and Vulgar,Negative,cagadas,
"HERNANO YO QUIERO DORMIR TAMBIEN, LA PUTA MADRE 😒",Medium,Frustrated,Impatient and Vulgar,Agitated,PUTA MADRE,
Tanto quilombo x las entradas y fue una mierda la egresado del CAI,Medium,Frustrated,Informal and Vulgar,Negative,"quilombo, mierda",
Me emperra que a estas alturas haya negocios que no acepten pago con tarjeta... 🤬 Pinche elotero mamón.,High,Aggressive,Profane and Insulting,Frustrated,"emperra, Pinche, mamón",
Q ahora en reemplazo de Nuria pongan a Anabel y una mierdaaaa NADIE QUIERE A ANABEL!,High,Aggressive,Rude and Insulting,Dismissive,"mierda, NADIE QUIERE",
"Primero los que deben responder son ustedes parranda de Hijueputas asesinos, violadores.",High,Aggressive,Confrontational and Insulting,Hostile,"Hijueputas, asesinos, violadores",
"Ocupamos un defensa matón, un defensa perro, agerrido y de huevos.",Medium,Aggressive,Informal and Vulgar,Demanding,"matón, perro, agerrido, huevos",
Este noticentro aliándose con los malditos partidos de siempre y no le dan oportunidad a los nuevos.,Medium,Frustrated,Accusatory and Disparaging,Discontent,malditos,
"Jugamos como las weas...Holgado la tubo y la pico y se la perdió, el resto a la fifa,ya perdimos.",Medium,Frustrated and Disappointed,Informal and Vulgar,Negative,weas,
Ojalá hubieran más cosas para decirle a ese TETRAHUJUEPUTA,High,Aggressive,Insulting,Hostile,TETRAHUJUEPUTA,
Donde putas estará Daniel Ortega?🤔,Medium,Frustrated,Colloquial and Vulgar,Critical,putas,
Ese momento incómodo cuando crees hablar con alguien en Grindr por primera vez pero te dice que ya culearon,Low,Informal,Casual,Awkward,culearon,
Así me gusta que venga gente preparada y educada en las más rancias y refinadas tradiciones.,Medium,Sarcastic,Insinuating,Contemptuous,rancias,
Eso muestra la rata tan hijueputa que es Petro.,High,Aggressive,Confrontational and Insulting,Hostile,"rata, hijueputa",
En cualquier momento colapsa 🇻🇪😞,Medium,Pessimistic,Despairing,Hopelessness,colapsa,
Ella sabe cómo dejar que este emputada jajajajajajaj,Medium,Mocking,Derisive,Contemptuous,emputada,
"Necesitaba desahogarme con esa wea, te juro que me cae muy mal ese viejo culiao 😑",High,Aggressive,Informal and Insulting,Hostile,"wea, mal, culiao",
"Es una victima, que diria elisa beni.",Medium,Dismissive,Sarcastic,Disrespectful,ninguna,
Gran puta Tyrone Lannister sabe dar izquierdazos.,High,Aggressive,Insulting,Derogatory,puta,
Muy temprano para hablar tanta paja,Low,Dismissive,Informal and Disparaging,Annoyed,paja,
Decirle mierda ofende a la mierda.,High,Insulting,Aggressive and Vulgar,Contemptuous,mierda,
Porque de eso nada que responde y se hace el pendejo.,Medium,Accusatory,Colloquial and Disrespectful,Frustration,pendejo,
Para que se les acabe ese jueguito a todos esos violadores de las Farc,High,Aggressive,Confrontational and Accusatory,Hostile,violadores,
"La clase estuvo buena pero súper mocha a mi parecer, si consideramos que es folclore y tiene un background brutal.",Low,Critical,Colloquial and Informal,Slightly Negative,"mocha, brutal",
hoy hicimos esa patada que barre por abajo y pensaba: en el mortal kombat era más fácil.,Low,Reflective,Casual,Nostalgic,ninguna,
Me voy hacer la paja con arrechera y a dormir.,Medium,Crude,Vulgar,Anger,"paja, arrechera",
Es decir las cortes son la mierda de la institucionalidad en el país.,High,Disparaging,Confrontational and Insulting,Contemptuous,mierda,
"Que triste, de la persona que menos lo esperaba, me hizo mierda.",Medium,Disappointed,Expressive and Emotional,Betrayed,"triste, mierda",
"A la mierda el orgullo, le voy a hablar  —Buenos días, vecino.",Low,Mixed,Casual and Contradictory,Somewhat Contradictory,mierda,
Es más fácil ganarse el baloto que conseguir un hijueputa sitp en menos de 35 min.,Medium,Frustrated,Vulgar and Informal,Negative,hijueputa,
"déjala ahí amiga es siempre lo mismo, q les chupe un huevo todo lo q dicen",Medium,Dismissive,Colloquial and Disrespectful,Indifferent,chupe un huevo,
"Sacate la camiseta y secate las lagrimas con ella, marico. Agradece que estás presenciando historia pura, te guste o no.",High,Aggressive,Confrontational and Derogatory,Hostile,marico,
Así que no se venga a lavar las manos por los antecedentes de su Papito.,Medium,Accusatory,Sarcastic and Condescending,Disapproving,lavar las manos,
"No sean pelotudos, porque sale en netflix se enteraron que tacumbú es un kilombo pio?",High,Confrontational,Insulting and Derisive,Disdainful,"pelotudos, kilombo",
Bue pelotudo fue sin querer 💔💔 perdón jeje,Medium,Apologetic with a hint of dismissiveness,Casual and Insulting,Apology,pelotudo,
Los mejores y los más valientes,Low,Positive,Complimentary,Admiring,,
Por qué coño ponen solo videos hablando Koala y Míriam de la mugrepandi??????,High,Frustrated,Vulgar and Insulting,Hostile,"coño, mugrepandi",
"SI LA EBAU SOM GACELAS NOSOTROS SOMOS LEONES COÑO, VENGA A POR ELLOS COÑO",Medium,Aggressive,Confrontational and Insulting,Hostile,coño,
que tiene que ver el feminismo con nazis de mierda,High,Aggressive,Confrontational and Insulting,Hostile,"nazis, mierda",
"Miro a mi novia y digo, qué mierda hice para merecer una persona tan buena y hermosa como vos?",Low,Reflective,Informal,Grateful,mierda,
Entonces anda comete un pancho cobra o un lomito de terraterra y deja de hacerte el finoli...,Medium,Mocking,Rude and Insulting,Disrespectful,finoli,
"Amonestación a Van Dijk, da el balón y se lleva el tobillo del maldito enano",Medium,Hostile,Derogatory and Insulting,Aggressive,maldito enano,
oye que me suda la polla la cantidad de billetes que os han traido los reyes xd,High,Dismissive,Rude and Vulgar,Indifferent,suda la polla,
Como mierda no hay viadil en esta casa!,Medium,Frustrated,Aggressive,Annoyed,mierda,
"Si, seré esa amiga y la tía buena pal webeo",Medium,Casual,Informal and Slang,Lighthearted,webeo,
cagondios pk no tengo pruebas k sino,High,Aggressive,Profane and Condescending,Frustration and Irate,cagondios,
Estoy de Suso hasta el mismo ojete.,Medium,Frustrated,Rude and Colloquial,Annoyed,ojete,
No me canso de mandar a todos los grupos mi tema del pito,Medium,Provocative,Informal and Irreverent,Disrespectful,pito,
che no quiero joder pero vi a varias pibas hablar d un escracho m podrias contar que onda?,Low,Inquisitive,Casual and Informal,Curiosity,joder,
Sé que Sari tiene ganas de chingarse al Winston Fish,Medium,Aggressive,Colloquial and Profane,Disrespectful,chingarse,
Martin es mas wn que las palomas...inocente el cabro #Los80,Medium,Insulting,Colloquial and Insulting,Disparaging,wn,
"Nadie me va a recibir, ya me imagino durmiendo cagada de frío en el banco de una plaza",Medium,Despairing,Vulgar and Defeatist,Hopeless,cagada,
Y entonces este mequetrefe cuando va para la cárcel,Medium,Mocking,Disparaging,Derisive,mequetrefe,
Ese pedazo de Hpta nunca va contestar.,High,Aggressive,Derogatory and Insulting,Hostile,Hpta,
"Si no quiere enterder, es usted un tremendo pedazo de weon",High,Aggressive,Insulting,Condemning,pedazo de weon,
Quien los manda a meterse ahí.,Medium,Blaming,Dismissive,Critical,manda,
Acá hay mucho boludo pidiendo que devuelvan plata !,Medium,Derisive,Disparaging,Contemptuous,boludo,
"U hoy o mañana sale (y daré porculo como Dio manda, por supuesto).",Medium,Aggressive,Coarse and Insulting,Threatening,porculo,
Hay que probarlo todo en la vida (dijo sacandose un hamster muerto del orto),High,Offensive,Vulgar and Insensitive,Disrespectful,"muerto, orto",
Que falta ni que nada que puta,High,Aggressive,Confrontational and Insulting,Hostile,puta,
"No sé si comer, cagar, dormir o ir a misa, me siento tan confundido.",Low,Confused,Colloquial,Frustration,cagar,
👏🏼👏🏼 gracias a ustedes el país va para la mierda.,Medium,Sarcastic,Colloquial,Critical,mierda,
ESOS CABRONES HUELEN EL MIEDO.,Medium,Aggressive,Vulgar and Insulting,Hostile,CABRONES,
Era hacerlo putear al pedo.,Medium,Disrespectful,Casual and Offensive,Frustrated,putear,
Cada quien decide en qué infierno se quema juju,Medium,Cynical,Figurative,Fatalistic,"infierno, quema",
En cualquier bar de mala muerte se come rico en Baires!,Low,Casual,Informal,Positive,mala muerte,
Y el papel secundario de Gordon Pinsent es una puta maravilla!!!!,Medium,Emphatic,Colloquial and Vulgar,Positive,puta,
"Como no encuentro Mickeys, me dedicó a mirar culos.",Medium,Disrespectful,Crude and Objectifying,Disrespectful,culos,
Deje de hablar tanta mierda qué en eso si son buenos.,High,Aggressive,Confrontational and Insulting,Hostile,mierda,
swiss medical y la concha de tu madre,High,Aggressive,Vulgar and Insulting,Hostile,concha de tu madre,
me encanta cuando la gente no entiende una mierda y habla pelotudeces porque sí,High,Sarcastic,Insulting,Contemptuous,"mierda, pelotudeces",
Sigan Saliendo parranda de Hijueputas...Sigan creyendo que esto es un juego y que son inmunes al Covid-19.,High,Angry,Confrontational and Insulting,Hostile,Hijueputas,
La Cuarentena no sirve para un culo.,Medium,Dismissive,Vulgar and Disparaging,Negative,culo,
"culiada para un poco, CUARTO trabajo que nos mandas en dos semanas hijadputa",High,Aggressive,Confrontational and Offensive,Hostile,"culiada, hijadputa",
Los españoles ¿tenemos una paciencia infinita o somos imbéciles con avaricia?,Medium,Critical,Derogatory,Negative,"imbéciles, avaricia",
Tiene que ser uno muy HIJUEPUTA en este mundo para meterse con los niños de alguien.,High,Aggressive,Insulting,Angry,HIJUEPUTA,
"Que mierda ya es hacer ejercicio, pero bueno dios me hizo simpático pero no flaco",Low,Frustrated,Colloquial and Informal,Self-deprecating,mierda,
te podeis ir pal coño jajajaja #VzlaSeRespeta #LasCallesSonDelPueblo,High,Dismissive,Confrontational and Insulting,Hostile,coño,
"No me puedo ni levantar de la cama, q gripe de mierda😷😓",Low,Frustrated,Informal,Negative,mierda,
"Vamos, que el Leicester tenía que venir a Madrid por cojones 😂😂",Medium,Joking,Casual and Vulgar,Slightly Aggressive,cojones,
Gran puta... gracias a Dios que solo Messi juega bien en Arg.,High,Derogatory,Insulting and Dismissive,Contemptuous,puta,
Quiero estar de novio pero ala vez salir de joda que mierda hago?😂💔,Medium,Frustrated,Informal and Vulgar,Conflicted,mierda,
Ver a Pedro el guapo de presidente y piensan que cualquier inútil puede prosperar en nuestra patria.,Medium,Derogatory,Disparaging,Disdainful,inútil,
Las Jordan 13 de Villanueva la cagaron!,Medium,Frustrated,Informal,Negative,cagaron,
A QUIÉN COÑO VAN A SALVAR HOY?,Medium,Aggressive,Confrontational,Frustration,COÑO,
lo siento soy consciente de la tremenda mierda q he soltao,Medium,Apologetic,Informal and Vulgar,Remorseful,mierda,
Y la vieja zorra no se desilusionó cómo con M Macri?,High,Derogatory,Confrontational and Insulting,Hostile,vieja zorra,
Yo le camino a alguien que demuestra que le importo.,Low,Cordial,Respectful,Positive,,
"Habeis disfrutado los fachas, lacayos y mamones del sistema absoleto y corrupto",High,Aggressive,Derogatory and Insulting,Hostile,"fachas, lacayos, mamones, absoleto, corrupto",
Hijo de puta peor me siento ahora boluda😂😂😂,High,Mocking,Offensive and Insulting,Hostile,"hijo de puta, boluda",
mirad qué cara de subnormal tiene,High,Mocking,Insulting,Derogatory,subnormal,
Que paja estaría teniendo de ir al club🙄,Medium,Dismissive,Casual and Disparaging,Unenthusiastic,paja,
instagram me chupa un huevo quién está haciendo vivos entendiste bueno,Medium,Indifferent,Rude and Dismissive,Detached,chupa un huevo,
Bue estoy re celosa de ustedes tres putos de mierda,High,Aggressive,Insulting,Hostile,"putos, mierda",
"Me quieren mandar por una pizza, pero pura madre si voy a ir.",Medium,Defiant,Casual and Uncooperative,Resentful,pura madre,
Estamos llevados del Putas y gracias a Quien?,Medium,Frustrated,Colloquial and Aggressive,Angry,Putas,
Le sacaron los trapitos al sol.,Medium,Critical,Colloquial,Revealing,trapitos al sol,
Netflix es peor que las drogas.,Medium,Criticizing,Hyperbolic and Judgmental,Negative,"peor, drogas",
"como me va afectar tanto esto,que idiota soy",Medium,Self-deprecating,Insulting,Negative,idiota,
.. sólo hablando cinco minutos puedes cambiar mi puto pensamiento,Medium,Frustrated,Casual and Explicit,Irritated,puto,
"AJAJAJ por la chucha, pierde seriedad el asunto",Medium,Dismissive,Informal and Disrespectful,Mild Annoyance,chucha,
Pero en el otro video usted misma dice que las “cachacas” están treinta estratos más arriba.,Medium,Accusatory,Informal and Derogatory,Disparaging,ninguna,
La vaina era q empecé a tirarle los perros Pa ver si podía pasar algo.,Medium,Casual and Disrespectful,Informal and Inappropriate,Manipulative,vaina,
Este mamarracho es el que decía que no era muy de banderas?,Medium,Critical,Disparaging,Disapproving,mamarracho,
"Eso destruyó mi alma en mil pedazos, que gonorrea.",Medium,Dramatic,Colloquial and Vulgar,Despairing,gonorrea,
Pero la gente es bruta prendiendo las plantas??,Medium,Derisive,Critical,Disdainful,bruta,
Se puede morir por sexo???,Low,Inquisitive,Informal,Neutral,morir,
En cualquier momento agarro una tijera y me vuelvo a hacer cagada en el pelo,Medium,Frustrated,Informal and Self-deprecating,Negative,cagada,
"Pues llevo 6 y estoy ya hasta el coño, que no tengo.",Medium,Frustrated,Vulgar and Exasperated,Fed-up,coño,
"No puedo creer que a tu pensamiento ridículo le pusieron 3 me gusta, estamos perdidos :)",Medium,Dismissive,Sarcastic and Mocking,Disdainful,"ridículo, perdidos",
"Mis compañeros cuando quieren se ponen de modo ortiva como ninguno, forros😒",Medium,Frustrated,Disparaging and Insulting,Annoyance,"ortiva, forros",
Que yo no entiendo como podes pensar si te volaron la cabeza,Medium,Mocking,Insulting,Disparaging,volaron la cabeza,
Jajajajajajajajajajajaja yo lo vi como 20 veces pq es que les gusta joder a esos hp 🤣,Medium,Mocking,Casual and Insulting,Derisive,"joder, hp",
Creo que no entiende la existencia el ahorro y romperse el orto en el trabajo,Medium,Dismissive,Condescending,Critical,romperse el orto,
Puta madre no me quiero ir,Medium,Frustrated,Informal and Vulgar,Negative,Puta madre,
Y un penal no fuiste capaz de meter... andate a la puta takuara,High,Aggressive and Disrespectful,Confrontational and Insulting,Hostile,puta,
Qué humor de mierda tengo hoy dios,Medium,Frustrated,Colloquial and Vulgar,Negative,mierda,
Como me rompe las pelotas que tarden en contestar.,Medium,Frustrated,Vulgar,Annoyed,rompe las pelotas,
Sólo estoy aquí desvelándome a lo puro pendejo.,Medium,Resigned,Colloquial and Insulting,Frustrated,pendejo,
"Acabo de cachar que tengo un taller en la u, obligatorio ctmmmmmmm, me quiero matar",High,Frustrated and Desperate,Vulgar,Overwhelmed and Despairing,"ctmmmmmmm, me quiero matar",
"El 'yo te aviso' es un 'No espere ni mierda, por que no la voy a llamar ni decir nada'.",Medium,Dismissive,Vulgar and Disrespectful,Disregardful,mierda,
Mientras el juega con el helicóptero..pero andá INÚTIL,Medium,Aggressive,Disparaging and Insulting,Disdainful,INÚTIL,
Raro este pedazo de Hpta incitando cada semana a una marcha.,High,Disparaging,Aggressive and Insulting,Hostile,Hpta,
Un beso que te gustó pero la psicópata de tu pareja te lleva echando en cara desde entonces.,Medium,Accusatory,Derogatory,Negative,psicópata,
"El wey que quedó conforme,¡Puto!",High,Aggressive,Insulting,Derogatory,"wey, puto",
Pues no que en la mierda empresa esta siguen poniendo el aire acondicionado CALIENTE con 20ºC en la calle tio???,Medium,Frustrated,Informal and Vulgar,Annoyed,mierda,
El puto amo de las bromas jajaja🤣🤣,Medium,Humorous,Casual and Vulgar,Positive,puto,
5 minutos estudiando y 3 horas pajariando...,Low,Casual,Informal,Humorous,pajariando,
Despertaron al León y no saben lo que les vienen mamertos ifuegputas.,High,Aggressive,Confrontational and Insulting,Hostile,mamertos ifuegputas,
"Al fina les pondremos la alfombra roja, entre aplazamientos y esta mierda.",Medium,Frustrated,Sarcastic and Offensive,Discontent,mierda,
jajajaja vení a ordenarmela vos q estar re al pedo,Medium,Mocking,Casual and Confrontational,Dismissive,pedo,
Carabineros ha terminado siendo una organización incompatible con la democracia,Medium,Critical,Formal,Negative,incompatible con la democracia,
Jajajaja pensó que era de cuates.,Low,Mocking,Informal and Sarcastic,Dismissive,,
"No, si yo también iba en plan coña hasta que he visto que no era tal xD",Low,Playful,Casual,Neutral,ninguna,
De verdad es necesario hacer esta cola para comer en el puto Mc??,Medium,Frustrated,Casual and Rude,Negative,puto,
"Nooo, no es una vida de mierda, es una vida de locos.",Low,Emphatic,Colloquial and Emphatic,Mixed,"mierda, locos",
Les tiembla el culo a ustedes que saben porque les corre.,High,Aggressive,Confrontational and Vulgar,Hostile,culo,
prometo agarrarte el culo asi 24/7 enviar,High,Vulgar,Explicit and Offensive,Aggressive,agarrarte el culo,
"El olor a metro a las 15h me da mucho asco” Palabras de pija repelente, ni me sorprenden..#VenenoEH",Medium,Dismissive,Insulting and Judgemental,Contemptuous,"asco, pija, repelente, veneno",
Por qué cojones descansó mas el Lega si acabó antes?????,Medium,Frustrated,Informal and Vulgar,Irritated,cojones,
"Por la chucha ni actualizar mis datos puedo en afp modelo, una mierda su pagina",Medium,Frustrated,Vulgar and Informal,Angry,"chucha, mierda",
ayer hice dos andadas x el monte y me pegue el dia recogiendo basura del suelo sois unos cerdos,Medium,Frustrated,Confrontational,Blaming,cerdos,
QUE LINDO TU CULO MI AMOR 🙏😘🇻🇪,Medium,Flirtatious,Sexual,Complimentary,culo,
